district,rera_id,project_name,promoter_name,location_pin_code,location_lat_long,project_status,proposed_date_of_completion,revised_proposed_date_of_completion,extended_date_of_completion,project_type,project_area_(sqmts),recreational_open_space,sanctioned_fsi,date_last_modified,cases_count,complaints_count,number_of_appartments,number_of_booked_appartments,number_of_basements,number_of_plinth,number_of_podiums,number_of_sanctioned_floors,number_of_stilts,total_no__of_open_parking_as_per_sanctioned_plan_(4-wheeler+2-wheeler),number_of_closed_parking,number_of_plots,area_of_plot(in_sqmts),number_of_plots_booked_/_alloted_/_sold
Mumbai Suburban,P51800011664,VIOLETTE VALLEY,AQUA MARINE ENTERPRISES,400050,"('19.062469000000000','72.833927000000003')",On-Going Project,12/31/2017,12/31/2017,,Residential,836.1,0.0,2256.03,02/05/2020,1.0,,23.0,5.0,2.0,1.0,0.0,14.0,0.0,10.0,0.0,0.0,0.0,0.0
Mumbai Suburban,P51800011379,BANDRA ONE,KML ESTATES PVT LTD,400050,"('19.055169500000002','72.829951800000003')",On-Going Project,12/31/2024,12/30/2025,,Residential,1774.25,0.0,0.0,08/06/2017,1.0,,35.0,0.0,1.0,1.0,4.0,20.0,1.0,6.0,1.0,0.0,0.0,0.0
Mumbai Suburban,P51800011260,SIDDHARTH NAGAR PASCHIM JAGRUTI CHS LTD,SHIVAM PARIVAR DEVELOPERS PVT LTD,400104,"('19.163044500000002','72.839299499999996')",On-Going Project,12/31/2025,12/30/2026,,Residential,1213.25,0.0,784.18,01/22/2024,11.0,8.0,162.0,129.0,1.0,1.0,1.0,25.0,1.0,8.0,1.0,0.0,0.0,0.0
Mumbai Suburban,P51800010788,Jay Krishna,PREMJI NARAN PATEL HUF,400078,"('19.059983599999999','72.889999000000003')",On-Going Project,12/31/2022,12/30/2023,12/29/2024,Residential,1798.7,0.0,4817.18,02/29/2024,,,84.0,54.0,0.0,1.0,5.0,23.0,1.0,0.0,1.0,0.0,0.0,0.0
Mumbai Suburban,P51800012468,PALAI AVENUE,DHANJI GELABHAI GALA,400022,"('19.048844000000000','72.877639000000000')",On-Going Project,12/31/2020,12/30/2021,12/30/2022,Commercial,3370.8,453.59,2486.97,03/27/2023,1.0,1.0,35.0,8.0,1.0,1.0,1.0,14.0,0.0,0.0,118.0,0.0,0.0,0.0
Mumbai Suburban,P51800011482,RASHMI SADHNA,MODIS NAVNIRMAN LLP,400067,"('19.207236600000002','72.834822099999997')",New Project,08/11/2019,,,Residential,589.2,0.0,586.32,06/22/2021,,,29.0,17.0,0.0,1.0,0.0,10.0,1.0,4.0,1.0,0.0,0.0,0.0
Mumbai Suburban,P51800007822,SALONI ENCLAVE,NIKHIL BUILDERS,400081,"('19.166069600000000','72.964562799999996')",On-Going Project,09/18/2018,09/18/2018,10/30/2020,Residential,1838.8,0.0,3385.6,01/21/2020,,,59.0,13.0,0.0,1.0,0.0,9.0,1.0,66.0,1.0,0.0,0.0,0.0
Mumbai Suburban,P51800012869,SAH PARISHRAM CHS Ltd,SHREE RAGHVANSHI DEVELOPER,400081,"('19.166069600000000','72.964562799999996')",On-Going Project,02/23/2019,11/23/2019,01/31/2022,Residential,690.69,103.6,825.82,08/18/2022,,,19.0,7.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
Mumbai Suburban,P51800009001,KANCHANGIRI,GOODWILL BUILDERS,400101,"('19.196256373986888','72.857356063893120')",New Project,12/30/2023,,12/29/2024,Others,3171.24,576.08,13711.48,03/08/2024,,,115.0,84.0,0.0,1.0,4.0,19.0,1.0,0.0,272.0,0.0,0.0,0.0
Mumbai Suburban,P51800010482,RAVIRAJ TARANG,RAVINDRA SHANKAR SAWANT,400068,"('19.259095400000000','72.833823400000000')",On-Going Project,12/15/2016,12/15/2022,,Residential,1315.3,0.0,3358.0,04/20/2023,,1.0,89.0,36.0,0.0,3.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0
Mumbai Suburban,P51800009333,REDEVELOPMENT OF KHATRI APARTMENTS COOPERATIVE HOUSING SOCIETY LIMITED,SRP REALTORS PRIVAYE LIMITED,400064,"('19.187229400000000','72.840747300000004')",On-Going Project,12/31/2019,12/31/2019,06/30/2024,Residential,907.8,0.0,2177.74,08/30/2023,,,,,0.0,1.0,0.0,8.0,1.0,17.0,12.0,0.0,0.0,0.0
Mumbai Suburban,P51800011262,Bhavani Plaza,Padmakar Purushottam Gokarna,400078,"('19.157034299999999','72.932744400000004')",On-Going Project,12/31/2019,12/31/2019,06/30/2024,Mixed (Plots & Buildings),851.0,0.0,183.0,02/08/2024,2.0,3.0,38.0,15.0,0.0,1.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0
Mumbai Suburban,P51800011754,Girivan Shivkunj,Shri Sati Builders and Developers Private Limited,400071,"('19.059111999999999','72.902760000000001')",New Project,03/31/2020,,03/30/2022,Residential,548.2,0.0,728.8,09/16/2021,,,21.0,19.0,0.0,1.0,0.0,12.0,1.0,2.0,24.0,0.0,0.0,0.0
Mumbai Suburban,P51800012925,Jaliyan Heights Borivali,Jaliyan Developer,400066,"('19.231344799999999','72.863529900000003')",On-Going Project,01/30/2021,07/30/2021,06/30/2022,Others,1004.39,169.79,2616.64,09/10/2022,,1.0,51.0,36.0,0.0,1.0,0.0,18.0,1.0,0.0,28.0,0.0,0.0,0.0
