district,rera_id,project_name,promoter_name,location_pin_code,location_lat_long,project_status,proposed_date_of_completion,revised_proposed_date_of_completion,extended_date_of_completion,project_type,project_area_(sqmts),recreational_open_space,sanctioned_fsi,date_last_modified,cases_count,complaints_count,number_of_appartments,number_of_booked_appartments,number_of_basements,number_of_plinth,number_of_podiums,number_of_sanctioned_floors,number_of_stilts,total_no__of_open_parking_as_per_sanctioned_plan_(4-wheeler+2-wheeler),number_of_closed_parking,number_of_plots,area_of_plot(in_sqmts),number_of_plots_booked_/_alloted_/_sold
Pune,P52100002474,Uma Residency,Dipak Babanrao Kavitake,413801,"('18.466355700000000','74.575332900000000')",New Project,06/12/2022,,06/12/2023,Others,3800.0,299.89,5166.0,11/11/2022,,,112.0,0.0,0.0,2.0,0.0,16.0,0.0,20.0,31.0,0.0,0.0,0.0
Pune,P52100000867,OXFORD PARADISE,ROHAN ANIRUDHA SEOLEKAR,411021,"('19.028346600000000','73.331077600000000')",On-Going Project,12/31/2020,12/30/2021,,Residential,6072.68,1185.68,9231.1,12/15/2018,1.0,,164.0,98.0,0.0,1.0,0.0,16.0,0.0,172.0,136.0,0.0,0.0,0.0
Pune,P52100004065,CRYSTAL CORNER,SAPTGIRI DEVELOPERS,412114,"('18.683111200000000','73.797792800000000')",On-Going Project,06/30/2016,03/31/2018,10/30/2020,Residential,3813.09,379.11,4738.23,09/20/2019,,,105.0,64.0,0.0,2.0,0.0,16.0,2.0,56.0,49.0,0.0,0.0,0.0
Pune,P52100002250,Shreemanyogi,MORNING STAR REALITIES,411017,"('17.000099200000000','73.290541300000000')",On-Going Project,10/10/2013,12/20/2018,12/20/2019,Residential,4879.98,378.52,5202.32,06/24/2022,,,71.0,61.0,2.0,2.0,0.0,28.0,2.0,19.0,47.0,0.0,0.0,0.0
Pune,P52100002064,"Marvel Ganga Sangria D,E Building",MARVEL LANDMARKS PVT LTD,411028,"('19.239283400000000','72.987392400000000')",On-Going Project,09/30/2014,03/31/2018,,Residential,3439.1,343.91,6416.39,01/10/2020,,15.0,23.0,21.0,2.0,2.0,2.0,26.0,2.0,0.0,52.0,0.0,0.0,0.0
Pune,P52100002371,"Marvel Ganga Sangria G,H,J Building",MARVEL LANDMARKS PVT LTD,411028,"('19.239283400000000','72.987392400000000')",On-Going Project,09/30/2016,12/31/2018,12/31/2019,Residential,5285.13,528.51,11907.7,01/10/2020,,24.0,55.0,51.0,3.0,3.0,3.0,50.0,3.0,0.0,107.0,0.0,0.0,0.0
Pune,P52100002514,"Marvel Ganga Sangria K,L,M Building",MARVEL LANDMARKS PVT LTD,411028,"('16.991734100000000','73.288904400000000')",On-Going Project,03/31/2015,06/30/2019,12/29/2020,Residential,7444.53,744.45,10886.4,07/08/2020,,23.0,44.0,24.0,3.0,3.0,3.0,40.0,3.0,0.0,89.0,0.0,0.0,0.0
Pune,P52100013107,HOLLYHOCK CITY,Kate Moze Associates,411047,"('19.232687700000000','72.798370500000000')",On-Going Project,07/01/2017,07/01/2019,,Residential,4000.0,2336.75,11124.34,10/10/2019,2.0,,70.0,25.0,0.0,1.0,0.0,10.0,0.0,5.0,22.0,0.0,0.0,0.0
Pune,P52100001815,"Marvel Ganga Sangria A,B,C Building",MARVEL LANDMARKS PVT LTD,411028,"('18.614008000000000','72.905073200000000')",On-Going Project,09/30/2015,12/31/2019,,Residential,5356.33,535.3,8417.21,07/08/2020,,7.0,45.0,38.0,3.0,3.0,3.0,35.0,3.0,0.0,74.0,0.0,0.0,0.0
Pune,P52100001780,Sarthak Shantiban,Sarthak & Shanti Associates,411041,"('19.183863100000000','72.858432100000000')",On-Going Project,06/30/2018,06/30/2018,,Residential,1800.0,0.0,2160.0,01/21/2020,,,49.0,41.0,0.0,2.0,0.0,12.0,0.0,0.0,17.0,0.0,0.0,0.0
Pune,P52100002240,Marvel Aurum,MARVEL REALTORS AND DEVELOPERS LTD,411001,"('18.529602900000000','73.876015400000000')",On-Going Project,09/30/2015,06/30/2018,,Residential,4490.39,449.03,7148.32,09/27/2021,,,31.0,26.0,6.0,3.0,0.0,39.0,0.0,0.0,96.0,0.0,0.0,0.0
Pune,P52100010211,Marvel Kyra A AND B Building,MARVEL SIGMA HOMES PRIVATE LIMITED,411028,"('18.518750000000000','73.931123000000000')",On-Going Project,03/31/2018,12/30/2021,,Residential,11270.5,2388.37,16991.2,10/24/2018,1.0,4.0,46.0,15.0,4.0,2.0,2.0,46.0,2.0,0.0,192.0,0.0,0.0,0.0
Pune,P52100000682,DEVRAEE C WING,LAXMAN TAKKEKAR ENTERPRISES,412114,"('18.683111200000000','73.797792800000000')",On-Going Project,03/31/2019,05/31/2019,,Others,1430.0,754.58,3018.75,05/07/2019,,,75.0,48.0,1.0,1.0,0.0,10.0,1.0,37.0,33.0,0.0,0.0,0.0
Pune,P52100000679,DEVRAEE A AND B WING,LAXMAN TAKKEKAR ENTERPRISES,412114,"('18.683111200000000','73.797792800000000')",On-Going Project,10/31/2017,12/31/2017,,Residential,6022.0,754.58,6174.85,03/22/2018,,,140.0,137.0,0.0,2.0,0.0,20.0,2.0,72.0,2.0,0.0,0.0,0.0
Pune,P52100003785,Savali Residancy,sahyadri buildcon,410501,"('18.441756700000000','73.119533600000000')",On-Going Project,12/31/2017,12/31/2017,,Residential,2700.0,270.0,1721.0,07/31/2017,,10.0,54.0,54.0,2.0,2.0,0.0,10.0,2.0,26.0,2.0,0.0,0.0,0.0
Pune,P52100004519,VITTHAL CAPITAL,M/S A. V. CORPORATION,411035,"('15.905262700000000','73.821321300000000')",New Project,12/25/2023,,12/24/2024,Residential,6100.0,0.0,6445.0,04/01/2023,,,174.0,127.0,1.0,1.0,0.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0
Pune,P52100000504,SIMPLICITY - E4 AND E5,J K P DEVELOPERS UNIT NO 2,412308,"('18.465771175492797','73.937317258807300')",On-Going Project,07/21/2017,10/31/2018,,Residential,462.22,0.0,2347.58,07/10/2019,,,41.0,38.0,0.0,2.0,0.0,13.0,2.0,5.0,36.0,0.0,0.0,0.0
Pune,P52100010059,RIO GREENS,JAIN KUMAR DEVELOPERS,410506,"('18.441756700000000','73.119533600000000')",On-Going Project,12/31/2021,12/30/2022,12/30/2023,Residential,6200.0,527.8,5517.79,12/30/2023,,,168.0,127.0,0.0,1.0,0.0,15.0,0.0,100.0,34.0,0.0,0.0,0.0
Pune,P52100001835,Renuka Gulmohar Phase II,Babu Saybanna Mehetre,411018,"('18.633923192502020','73.801946083580020')",On-Going Project,12/31/2023,12/30/2024,,Residential,14762.13,1296.21,12634.69,08/12/2023,,,287.0,237.0,0.0,8.0,0.0,65.0,0.0,20.0,136.0,0.0,0.0,0.0
Pune,P52100001490,GAGAN KAPITAL,GAGAN ACE DEVELOPERS,411001,"('18.534232664071634','73.876526360817370')",On-Going Project,03/31/2017,12/31/2019,12/30/2021,Commercial,1004.73,0.0,1561.14,02/07/2024,,,19.0,15.0,1.0,1.0,0.0,6.0,0.0,0.0,45.0,0.0,0.0,0.0
Pune,P52100003108,Morphic Arham,Morphic Developers,411037,"('18.480762700000000','73.872430100000000')",On-Going Project,06/30/2018,06/30/2018,12/21/2019,Residential,580.6,0.0,1044.43,06/08/2022,,,7.0,2.0,0.0,1.0,0.0,5.0,0.0,0.0,17.0,0.0,0.0,0.0
Pune,P52100000613,Manjri Green woods phase 2 H1 building,Maloji Constructions,412307,"('18.494253685028305','73.962240861238120')",On-Going Project,09/12/2020,03/12/2021,,Residential,754.01,3050.0,6817.77,01/03/2022,,,166.0,166.0,0.0,1.0,0.0,13.0,1.0,38.0,69.0,0.0,0.0,0.0
Pune,P52100004712,Dnyandeep,M/s. Ira Spaces,411004,"('18.990669800000000','73.109652100000000')",On-Going Project,10/26/2018,04/30/2020,10/30/2022,Residential,780.0,78.0,1242.52,05/19/2022,,,20.0,15.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0
Pune,P52100000917,Western Avenue,KOLTE-PATIL DEVELOPERS LIMITED,411057,"('16.989961200000000','73.328759300000000')",On-Going Project,12/31/2021,12/30/2022,12/29/2023,Residential,54205.25,5698.73,65468.35,09/30/2023,2.0,,936.0,828.0,1.0,16.0,11.0,168.0,12.0,206.0,651.0,0.0,0.0,0.0
Pune,P52100003214,Guardian Cityscapes Phase 1,Guardian Homes Private Limited,411030,"('18.489996414635268','73.831542123492230')",On-Going Project,12/31/2020,06/30/2024,,Residential,9585.0,1859.13,16824.55,03/15/2024,,1.0,224.0,221.0,0.0,3.0,9.0,60.0,0.0,0.0,301.0,0.0,0.0,0.0
Pune,P52100002426,SNEH SHRADDHA,M/S. K K CONSTRUCTION,411041,"('19.089314800000000','72.907805700000000')",On-Going Project,12/31/2017,07/31/2018,,Residential,905.06,905.06,1357.59,01/23/2020,,,36.0,12.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0
Pune,P52100005900,ECOGRAM,SHRI SIDDHIVINAYAK BUILDERS,412208,"('19.141896100000000','72.834424000000000')",On-Going Project,02/28/2018,03/31/2018,,Residential,1712.53,1680.0,1207.24,08/29/2019,,,32.0,32.0,0.0,1.0,0.0,5.0,0.0,4.0,25.0,0.0,0.0,0.0
Pune,P52100009637,LA CABANA,Sigma one shilp ventures,411021,"('18.505242800000000','73.766112900000000')",On-Going Project,11/01/2017,03/31/2018,03/31/2019,Residential,6747.49,799.72,5834.8,12/06/2021,,9.0,104.0,38.0,0.0,4.0,0.0,20.0,2.0,16.0,89.0,0.0,0.0,0.0
Pune,P52100000751,VARDHAMAN PEARL-ABOLI,Vardhman Pearl,411046,"('18.456199965863462','73.838987476321340')",On-Going Project,10/28/2019,10/28/2019,04/10/2021,Residential,1800.0,0.0,2127.0,08/01/2022,,,48.0,48.0,0.0,1.0,0.0,4.0,1.0,13.0,35.0,0.0,0.0,0.0
Pune,P52100011176,SHRI KRISHNA OASIS,SHRI BUILDCON,411001,"('19.068535500000000','72.900320900000000')",On-Going Project,01/31/2019,01/31/2019,,Residential,2685.0,260.38,1647.68,06/19/2019,,,40.0,0.0,0.0,3.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
Pune,P52100001421,Vasant,B.U.Bhandari Erandwana ( AOP ),411004,"('18.514335222021670','73.827297300386020')",On-Going Project,12/31/2021,12/30/2022,,Residential,1021.82,0.0,1633.06,02/08/2023,,,22.0,3.0,0.0,1.0,0.0,6.0,1.0,0.0,25.0,0.0,0.0,0.0
Pune,P52100012334,Pranjal,Gajendra Dattatraya Pawar,411030,"('18.502275000000000','73.858497000000000')",On-Going Project,11/18/2016,12/30/2021,12/31/2025,Residential,237.12,0.0,300.66,01/31/2024,,,23.0,9.0,0.0,1.0,0.0,8.0,1.0,0.0,14.0,0.0,0.0,0.0
Pune,P52100002424,PITTIE KOURTYARD - D TOWER,RAJA BAHADUR INTERNATIONAL LTD.,411014,"('18.520430300000000','73.856743699999920')",On-Going Project,04/01/2021,04/01/2023,,Residential,13076.18,1307.62,6615.89,06/24/2021,,,61.0,56.0,0.0,1.0,1.0,21.0,2.0,0.0,76.0,0.0,0.0,0.0
Pune,P52100009653,ECOPOLITAN PHASE I,IFTEKHAR PEERPASHAHUSSENI INAMDAR,411033,"('18.503532700000000','73.761538600000000')",On-Going Project,12/31/2025,12/30/2026,,Others,11000.0,0.0,4212.24,05/10/2023,,,89.0,89.0,2.0,2.0,0.0,16.0,2.0,0.0,80.0,0.0,0.0,0.0
Pune,P52100001427,WATERS EDGE PHASE VI,OM SAGAR DEVELOPERS,411027,"('18.580357968434120','73.784372486859520')",On-Going Project,09/30/2020,09/30/2022,09/30/2023,Commercial,5567.18,499.94,7127.45,10/21/2023,,,129.0,129.0,1.0,1.0,1.0,10.0,0.0,163.0,252.0,0.0,0.0,0.0
