district,rera_id,project_name,promoter_name,location_pin_code,location_lat_long,project_status,proposed_date_of_completion,revised_proposed_date_of_completion,extended_date_of_completion,project_type,project_area_(sqmts),recreational_open_space,sanctioned_fsi,date_last_modified,cases_count,complaints_count,number_of_appartments,number_of_booked_appartments,number_of_basements,number_of_plinth,number_of_podiums,number_of_sanctioned_floors,number_of_stilts,total_no__of_open_parking_as_per_sanctioned_plan_(4-wheeler+2-wheeler),number_of_closed_parking,number_of_plots,area_of_plot(in_sqmts),number_of_plots_booked_/_alloted_/_sold
Palghar,P99000007043,NAKODA HEIGHTS NO 1 AND 2,SHREE NAKODA DEVELOPERS,401203,"('19.430430000000001','72.808858000000001')",On-Going Project,07/31/2020,07/31/2025,,Residential,9410.0,0.0,12709.12,10/26/2018,,1.0,326.0,318.0,0.0,2.0,0.0,19.0,78.0,10.0,0.0,0.0,0.0,0.0
Palghar,P99000005233,Maple Terraces Building No. A-15,Messrs. Axis Dwellings LLP,401404,"('19.693558100000001','72.765518400000005')",On-Going Project,10/31/2016,03/31/2018,12/30/2021,Residential,213.4,0.0,951.53,02/20/2019,,,18.0,6.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
Palghar,P99000007525,Navkar Tower Part 1,Navkar Estate and Homes Pvt Ltd,401208,"('19.373481999999999','72.886993000000004')",On-Going Project,12/31/2018,12/30/2023,,Others,2633.0,264.92,2109.36,02/21/2024,,,85.0,85.0,0.0,1.0,0.0,7.0,1.0,20.0,1.0,0.0,0.0,0.0
Palghar,P99000010346,SAI ASHISH,G.M ENTERPRISES,401209,"('19.430665000000001','72.824117999999999')",On-Going Project,12/31/2026,12/30/2027,,Others,251.01,211.66,2086.0,01/06/2024,,,62.0,51.0,0.0,1.0,0.0,15.0,1.0,5.0,16.0,0.0,0.0,0.0
Palghar,P99000009007,VASTU SHILP DEVELOPERS,VASTU SHILP DEVELOPERS,401303,"('19.458608000000002','72.816761000000000')",On-Going Project,12/31/2017,01/31/2018,,Residential,1540.0,0.0,2284.49,12/14/2019,,,49.0,31.0,0.0,1.0,0.0,9.0,1.0,15.0,11.0,0.0,0.0,0.0
Palghar,P99000010164,SHANTI VISTA,SHAH REALTY AND INFRA,401107,"('19.693558100000001','72.765518400000005')",On-Going Project,06/30/2016,07/31/2018,,Residential,6773.44,135.8,12839.74,12/05/2019,,,249.0,218.0,0.0,1.0,0.0,5.0,1.0,0.0,22.0,0.0,0.0,0.0
Palghar,P99000002584,SEA GRAPES,NINE REALTY BUILDERS,401203,"('19.430437000000001','72.809758000000002')",On-Going Project,12/31/2019,12/31/2019,06/30/2023,Residential,179.8,226.31,1131.57,06/17/2023,,,36.0,33.0,0.0,1.0,0.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0
Palghar,P99000009277,Sai River Palace,SAI UNIVERSAL REALTORS & DEVELOPERS LLP,401501,"('19.785610999999999','72.841913000000005')",On-Going Project,12/20/2018,12/20/2021,12/20/2022,Residential,13401.88,1405.32,10039.55,04/13/2022,,9.0,121.0,41.0,1.0,6.0,0.0,26.0,5.0,47.0,5.0,0.0,0.0,0.0
Palghar,P99000011852,SHREE NATH NAGAR NO 1 AND 2,SHREENATH ENTERPRISES,401203,"('19.470106999999999','72.799650000000000')",On-Going Project,07/31/2022,07/31/2028,,Residential,12110.0,1200.0,5796.06,10/14/2018,,,192.0,179.0,0.0,2.0,0.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0
Palghar,P99000004664,GREEN VALLEY PHASE 1,DHARTI INFRA,441902,"('21.368430100000001','80.379783399999994')",On-Going Project,12/31/2018,06/30/2021,12/30/2022,Mixed (Plots & Buildings),3043.75,0.0,962.69,09/28/2021,,,17.0,14.0,0.0,22.0,0.0,43.0,0.0,22.0,0.0,0.0,0.0,0.0
