district,rera_id,project_name,promoter_name,location_pin_code,location_lat_long,project_status,proposed_date_of_completion,revised_proposed_date_of_completion,extended_date_of_completion,project_type,project_area_(sqmts),recreational_open_space,sanctioned_fsi,date_last_modified,cases_count,complaints_count,number_of_appartments,number_of_booked_appartments,number_of_plots,area_of_plot(in_sqmts),number_of_plots_booked_/_alloted_/_sold,number_of_basements,number_of_plinth,number_of_podiums,number_of_sanctioned_floors,number_of_stilts,total_no__of_open_parking_as_per_sanctioned_plan_(4-wheeler+2-wheeler),number_of_closed_parking
Nagpur,P50500054091,Royal Crest,Royal Fort Developers and Landmark Realities,441108,,New Project,08/25/2028,,,Plots,12100.0,1215.56,0.0,01/20/2024,,,,,15.0,835.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500053105,VED OCM - II,PRAFULVED INFRA & PRAFUL DESHMUKH ASSOCIATES 2 LLP,440025,,New Project,09/23/2025,,,Commercial,3361.31,0.0,22814.16,08/14/2023,,,12.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,11.0,1.0,0.0,634.0
Nagpur,P50500055448,SKYLINE PARK,GR INFRASTRUCTURE,431701,"('20.946820000000000','79.043190000000000')",New Project,11/30/2025,,,Plots,6474.74,1267.65,0.0,03/11/2024,,,,,8.0,827.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500053677,Shri Swami Samarth Mauli Nagar,Vitthal Shamrao Raut,441302,,New Project,06/30/2024,,,Plots,8878.04,1729.62,0.0,09/11/2023,,,,,34.0,913.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500052988,PARADISE HILLS 2,Paradise Associates,441101,,New Project,06/30/2028,,,Residential,19800.0,1981.01,17731.1,08/07/2023,,,312.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,35.0,0.0,968.0,0.0
Nagpur,P50500052778,SSD GREENS-1,SSD GREENS,441501,,New Project,12/31/2028,,,Plots,9940.36,1865.45,0.0,02/01/2024,,,,,24.0,1243.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500053141,Golden City,Dilawar Inayat Khan and Mujib Salambhai Pathan,441122,,New Project,12/31/2026,,,Plots,11615.99,1796.8,0.0,08/29/2023,,,,,8.0,2179.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500053716,MAHALAXMI NAGAR 30 AND VISION CITY 2,VISION INFRA,441204,,New Project,08/14/2028,,,Plots,34951.44,6374.33,0.0,08/04/2023,,,,,35.0,3263.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500052682,SYMPHONY,MAHESH WAMANRAO CHUTE,440023,,New Project,08/01/2027,,,Residential,594.0,0.0,1519.86,10/18/2023,,,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,27.0,0.0
Nagpur,P50500054396,Maa Chandika Nagar,Wasudeorao Anadrao Deshmukh,441302,,New Project,12/31/2026,,,Plots,5580.54,943.39,0.0,12/01/2023,,,,,10.0,1237.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500053813,Morya Park 3,Moreshwar Narayanrao Bhagat,441111,,New Project,12/31/2027,,,Plots,15325.88,2732.42,0.0,03/14/2024,,,,,24.0,1481.52,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500052906,VRINDAVAN ESTATE,BVN CONSTRO VENTURES LLP,440034,,New Project,08/09/2028,,,Residential,3560.75,0.0,3140.76,09/14/2023,,,17.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,34.0,1.0,17.0,0.0
Nagpur,P50500053228,DWARKA NAGARI 9,SONIYA SUDHAKAR KSHIRSAGAR,441108,,New Project,12/31/2024,,,Plots,10482.0,1512.0,10482.0,08/12/2023,,,,,13.0,1124.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500053258,Kamal Nagar,Sachin Madhavrao Ganvir and Sumant Madhaorao Ganvir,440019,,New Project,03/31/2027,,,Plots,6138.41,854.43,0.0,01/20/2024,,,,,7.0,1013.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500052908,RAGHUKUL PARK-3,SANJAY RAMKRUSHNA JAGTAP,441110,,New Project,08/03/2028,,,Plots,11789.21,0.0,11789.21,02/03/2024,,,,,34.0,942.75,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500053567,KESHAVAM CITY 7,M/S KESHAVAM - INFRA,441214,,New Project,03/31/2026,,,Plots,37300.0,3236.4,19219.0,10/21/2023,,,,,21.0,2218.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500053869,GURUKUNJ,RAJU PRALHADRAO KALBANDE,440034,"('21.110600000000000','79.135520000000000')",New Project,08/20/2026,,,Others,591.24,25.0,1547.79,09/11/2023,,,24.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,1.0,35.0,1.0
Nagpur,P50500053254,WELAHARI 166/2,TUSHAR SHARADRAO DAWARE AND DIGVIJAY SHARADRAO DAWARE,440034,,New Project,12/31/2028,,,Plots,3514.67,611.83,3514.67,08/25/2023,,,,,4.0,1212.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500053996,Shayona Valley,SHAYONA VALLEY AOP,441111,,New Project,04/30/2028,,,Plots,2157.57,0.0,0.0,10/12/2023,,,,,3.0,508.53000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500053698,SAI NAGRI 7,SAIDHAM BUILDERS & DEVELOPERS,441204,,New Project,08/30/2028,,,Plots,11059.01,1956.13,0.0,09/02/2023,,,,,14.0,1170.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500054107,Ayodhya Dham Nagari,Sai Shrushti Real Estate,440023,,New Project,03/31/2027,,,Plots,13807.99,2357.62,0.0,08/18/2023,1.0,,,,7.0,1253.1100000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500055155,Vijay Baijuji Wanjari,Vijay Baijuji Wanjari,440026,,New Project,12/01/2026,,,Residential,749.47,0.0,1662.49,01/04/2024,,,27.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,43.0,0.0
Nagpur,P50500052571,SAI CHHAYA-2,ARIHANT INFRA PROJECTS,440025,,New Project,06/30/2025,,,Residential,512.09,0.0,1467.36,08/23/2023,,,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,0.0,1.0
Nagpur,P50500053609,ARIK PARK,Ganesh Jaganji Pardhi,441204,,New Project,12/31/2025,,,Plots,19753.14,3240.34,19753.14,03/09/2024,,,,,6.0,5119.889999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500052911,129-RIDDHI SIDDHI HEIGHTS,DEVANG DEVELOPERS LLP,440025,,New Project,10/01/2025,,,Residential,882.63,0.0,1627.4,02/23/2024,,,19.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,0.0,1.0
Nagpur,P50500053129,VRUNDAVAN-III,Ojaswita Construction,440022,"('21.122458400000000','79.063308300000000')",New Project,12/31/2027,,,Residential,351.17,0.0,899.18,09/30/2023,,,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,19.0
Nagpur,P50500053487,Ibrahim Residency,Mohammed Fahim Ibrahim,440001,,New Project,08/31/2027,,,Residential,1484.64,0.0,3576.93,02/05/2024,,,40.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,61.0
Nagpur,P50500054902,UNIQUE CITY 2,GANPATI BUILDERS AND DEVLOPERS,441110,,New Project,08/31/2028,,,Plots,34910.0,15833.0,0.0,01/27/2024,,,,,46.0,2703.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500053748,SDPL Aashray Beltarodi II,SANDEEP DWELLERS PVT. LTD.,441108,,New Project,09/30/2028,,,Residential,2698.87,0.0,7733.41,01/13/2024,,,184.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,14.0,0.0,81.0,29.0
Nagpur,P50500054014,SAIKRUPA TOWERS,SUDAAYSH  GANVIR,441202,,New Project,12/31/2026,,,Commercial,4300.0,457.34,1732.07,10/19/2023,,,56.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,4.0,12.0
Nagpur,P50500052775,S-13-DEV HEIGHTS,DEOVRAT  JAISWAL,440022,,New Project,03/31/2026,,,Residential,743.22,0.0,2603.21,03/01/2024,,,22.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,1.0,0.0,1.0
Nagpur,P50500053661,SHANTIPURUSH APARTMENT,AARYA ASSOCIATES,440010,,New Project,03/31/2027,,,Residential,603.85,0.0,1883.81,10/18/2023,,,20.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,16.0,19.0
Nagpur,P50500053724,IOSIS GOLD,IOSIS CAPITAL PRIVATE LIMITED,441111,,New Project,12/31/2025,,,Plots,37700.0,2933.14,0.0,01/24/2024,,,,,27.0,1587.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500054010,RAJURAOOTHERS,RAJU RAO OTHERS,440023,"('21.136289700000000','78.953773100000000')",New Project,03/31/2025,,,Plots,5171.33,951.0,0.0,10/18/2023,,,,,9.0,867.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500053665,KRUSHNANKI-2,OM SHIV INFRASTRUCTURE,441204,,New Project,03/31/2026,,,Plots,5326.58,981.07,0.0,09/12/2023,,,,,8.0,1069.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500053531,Harode Infrastructure Goverdhan Nagari 3,Harode Infrastructures,440035,,New Project,12/31/2024,,,Plots,10900.0,1022.0,0.0,11/03/2023,,,,,5.0,936.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500055235,ORANGE CITY VI,VISHAL PREMDAS BAWISTALE,441110,,New Project,09/30/2028,,,Plots,16385.0,1432.43,0.0,10/18/2023,,,,,4.0,2091.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500052678,SERENITY-BY THE LAKE,RADHE BUILDCON,440022,,New Project,06/30/2028,,,Residential,1308.14,0.0,7091.75,01/22/2024,,,24.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,13.0,1.0,0.0,1.0
Nagpur,P50500052772,ROYAL EMPIRE,M B INFRA,440034,,New Project,08/31/2030,,,Others,7508.23,0.0,7802.42,01/20/2024,,,123.0,33.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0
Nagpur,P50500054958,AADHAR NAGRI - III,REVATI CONSTRUCTION AND DEVELOPERS,440014,,New Project,07/31/2026,,,Residential,71200.0,6984.65,51550.63,02/16/2024,,,1068.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,133.0,19.0,1133.0,34.0
Nagpur,P50500054137,SHAYONA VALLEY,SHAYONA VALLEY AOP,441111,,New Project,04/30/2028,,,Plots,1701.49,0.0,0.0,12/12/2023,,,,,3.0,536.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500053273,SAMRUDDHI 8,Tirupati Developers,441110,,New Project,03/31/2028,,,Plots,5575.12,896.89,0.0,10/09/2023,,,,,4.0,574.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500053705,SHUBHLAXMI NAGRI,M/s. Shubhlaxmi Developers,440019,,New Project,12/31/2027,,,Plots,6824.0,1351.76,0.0,10/26/2023,,,,,10.0,1268.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500053961,KESAR GARDEN 2,KESAR INDIA LIMITED,440026,,New Project,03/31/2026,,,Plots,4822.15,743.11,0.0,11/18/2023,,,,,8.0,889.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500052675,AURA,MADHAVRAYA MULTIVENTURES,440013,,New Project,03/31/2028,,,Residential,1488.75,0.0,5321.78,01/31/2024,,,28.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,16.0,1.0,0.0,1.0
Nagpur,P50500053014,NARMADA VIHAR - 5,SHREE KRISHNA ASSOCIATES,441110,,New Project,12/31/2027,,,Plots,13900.0,1425.3,1.1,09/11/2023,,,,,7.0,1025.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500053288,LEO GALAXY-5,MAHENDRA RISHABHCHAND JAIN,440013,,New Project,12/31/2027,,,Residential,1140.83,0.0,0.0,01/30/2024,,,28.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,20.0,1.0
Nagpur,P50500053861,VIDHAYAM RESIDENCY,K M C REALTOR,440017,,New Project,08/31/2028,,,Residential,2549.2,0.0,4535.65,11/07/2023,,,58.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,122.0,0.0
Nagpur,P50500053990,KESHVAM CITY III,KESHVAM CITY III,441122,,New Project,03/31/2026,,,Plots,10399.0,1026.15,0.0,12/08/2023,,,,,5.0,802.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500053221,RACHANA PURVA,Rachana Developers,440013,,New Project,06/30/2026,,,Others,4431.42,0.0,15953.11,03/21/2024,1.0,,135.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,0.0,449.0,0.0
Nagpur,P50500054198,Samarth Nagar,Samartha Developers,441110,,New Project,12/31/2025,,,Plots,5396.71,856.64,0.0,10/25/2023,,,,,4.0,662.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500053018,AGI RESIDENCY,ACCEL GROWTH INFRASTRUCTURES,441110,,New Project,12/31/2028,,,Plots,28100.0,2780.61,28892.58,01/20/2024,,,,,40.0,1402.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500053686,ROYAL CITY,TARMAL INFRA,441302,,New Project,12/31/2029,,,Plots,10976.51,2587.72,0.0,10/20/2023,,,,,26.0,1661.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500053556,Ebony,Luxora Infrastructure Private Limited,440034,,New Project,12/31/2026,,,Residential,2221.37,0.0,3562.38,03/21/2024,,,93.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,93.0,9.0
