district,rera_id,project_name,promoter_name,location_pin_code,location_lat_long,project_status,proposed_date_of_completion,revised_proposed_date_of_completion,extended_date_of_completion,project_type,project_area_(sqmts),recreational_open_space,sanctioned_fsi,date_last_modified,cases_count,complaints_count,number_of_appartments,number_of_booked_appartments,number_of_basements,number_of_plinth,number_of_podiums,number_of_sanctioned_floors,number_of_stilts,total_no__of_open_parking_as_per_sanctioned_plan_(4-wheeler+2-wheeler),number_of_closed_parking,number_of_plots,area_of_plot(in_sqmts),number_of_plots_booked_/_alloted_/_sold
Nashik,P51600000742,HOME CLASSIC,SHAILENDRA TUKARAM SALUNKE,422003,"('18.529280000000000','73.945706000000000')",On-Going Project,10/31/2022,01/31/2023,,Residential,339.5,0.0,475.28,09/20/2021,,,11.0,8.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0
Nashik,P51600001304,Anmol Nayantara Empire,Bafna Builders and Land Developers,422002,"('21.150653000000000','79.129451600000000')",On-Going Project,03/31/2014,12/31/2018,12/31/2019,Residential,8166.37,957.56,8063.16,06/10/2022,,,80.0,65.0,0.0,0.0,0.0,44.0,4.0,44.0,72.0,0.0,0.0,0.0
Nashik,P51600001205,HARI VISHWA D BUILDING,KBC GLOBAL LIMITED,422010,"('19.949172538890630','73.752948402624500')",On-Going Project,12/31/2019,12/31/2019,08/31/2023,Residential,4525.09,0.0,4525.09,02/23/2024,,2.0,99.0,77.0,0.0,1.0,0.0,13.0,1.0,28.0,71.0,0.0,0.0,0.0
Nashik,P51600013094,URBAN BRICKS,RATAN CIVIL ASSOCIATES PVT LTD,422002,"('19.995836200000000','73.778673900000000')",New Project,12/31/2019,,,Residential,513.0,0.0,714.23,12/05/2022,,,8.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,10.0,0.0,0.0,0.0
Nashik,P51600005317,Radha Krishna,Bharat Lalji Mawani,422003,"('20.732814000000000','78.594717000000000')",On-Going Project,07/16/2018,07/16/2018,,Residential,316.74,0.0,443.44,04/17/2023,,,12.0,4.0,0.0,1.0,0.0,5.0,1.0,0.0,7.0,0.0,0.0,0.0
Nashik,P51600001046,FOG CITY PHASE-2 NSV,NEW STEP VENTURES,422403,"('21.145527500000000','79.192590300000000')",On-Going Project,12/31/2019,12/31/2019,,Residential,38100.0,3033.49,14667.64,11/21/2022,,,153.0,32.0,6.0,9.0,1.0,31.0,0.0,88.0,0.0,0.0,0.0,0.0
Nashik,P51600003989,PHOENIX,HARISH VEERAPPA KANCHAN,422007,"('19.967487000000000','79.293827300000000')",On-Going Project,07/31/2014,12/31/2017,,Residential,4552.75,842.08,5612.0,09/26/2017,,,58.0,49.0,0.0,1.0,1.0,12.0,1.0,50.0,53.0,0.0,0.0,0.0
Nashik,P51600004718,GOVINDA HEIGHTS,RADHE DEVELOPERS,422009,"('18.588357000000000','73.874686500000000')",On-Going Project,12/31/2018,06/30/2019,,Others,1882.0,0.0,3623.69,08/16/2019,,,50.0,15.0,0.0,2.0,1.0,22.0,2.0,23.0,20.0,0.0,0.0,0.0
Nashik,P51600001313,Vista II,Vascon Engineers Ltd,422006,"('19.970391184776712','73.789728139251680')",On-Going Project,04/30/2017,03/31/2018,10/30/2020,Residential,6079.25,716.0,8695.84,08/10/2021,,,140.0,119.0,0.0,4.0,0.0,40.0,4.0,90.0,50.0,0.0,0.0,0.0
Nashik,P51600002894,Anmol Nayantara Gold,Bafna Builders and Land Developers,422009,"('21.073548800000000','78.961348600000000')",On-Going Project,12/31/2013,12/31/2018,12/31/2019,Residential,29625.78,3119.0,39766.75,06/22/2022,4.0,,620.0,580.0,0.0,0.0,4.0,165.0,15.0,327.0,290.0,0.0,0.0,0.0
Nashik,P51600000718,BEVERLLY HILLS PHASE - III,Madhoor Buildwell Pvt. Ltd.,422011,"('21.111700200000000','79.072979300000000')",On-Going Project,03/31/2022,09/30/2022,,Residential,4700.0,2387.04,996.99,01/12/2022,,,12.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Nashik,P51600005465,Skylark Sapphire,Skylark Constructions Pvt. Ltd.,422009,"('19.967487000000000','79.293827300000000')",On-Going Project,12/31/2018,12/31/2018,,Residential,1485.02,0.0,2610.0,11/21/2020,,,48.0,16.0,0.0,2.0,0.0,14.0,2.0,9.0,38.0,0.0,0.0,0.0
Nashik,P51600004778,OLIVE ARCADE,SMB DEVELOPERS & CONTRACTORS,422011,"('19.967487000000000','79.293827300000000')",On-Going Project,12/31/2018,08/31/2019,,Residential,900.0,0.0,1807.92,11/02/2021,,,1.0,7.0,0.0,1.0,0.0,10.0,0.0,14.0,13.0,0.0,0.0,0.0
