district,rera_id,project_name,promoter_name,location_pin_code,location_lat_long,project_status,proposed_date_of_completion,revised_proposed_date_of_completion,extended_date_of_completion,project_type,project_area_(sqmts),recreational_open_space,sanctioned_fsi,date_last_modified,cases_count,complaints_count,number_of_appartments,number_of_booked_appartments,number_of_basements,number_of_plinth,number_of_podiums,number_of_sanctioned_floors,number_of_stilts,total_no__of_open_parking_as_per_sanctioned_plan_(4-wheeler+2-wheeler),number_of_closed_parking,number_of_plots,area_of_plot(in_sqmts),number_of_plots_booked_/_alloted_/_sold
Raigarh,P52000018610,PADMAVATI RESIDENCY,SACHIN RAMDAS PATIL,410201,,New Project,11/28/2023,,,Residential,300.0,0.0,346.13,11/20/2018,,,12.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0
Raigarh,P52000018828,DECENT APARTMENT,DECENT BUILDERS & DEVELOPERS,410101,,New Project,04/04/2020,,04/04/2022,Residential,434.0,0.0,0.0,02/01/2021,,,15.0,5.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Raigarh,P52000019029,SHUBH RESIDENCE,SHALOM DEVELOPERS,402301,,New Project,10/30/2022,,,Residential,718.0,0.0,603.8,12/13/2018,,,23.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Raigarh,P52000018656,Ambika Niwas,Lumbaram Modaram Patel,410206,"('18.987697727235730','73.095233526147470')",New Project,12/30/2021,,,Residential,289.87,0.0,433.5,08/07/2021,,,14.0,14.0,0.0,1.0,0.0,5.0,1.0,0.0,5.0,0.0,0.0,0.0
Raigarh,P52000018606,Ambika Nandan,Lumbaram Modaram Patel,410206,"('18.988393936537120','73.094556292279100')",New Project,12/30/2021,,,Residential,229.93,0.0,343.96,08/07/2021,,,15.0,15.0,0.0,1.0,0.0,5.0,1.0,0.0,5.0,0.0,0.0,0.0
Raigarh,P52000019557,Renaissance Royal Phase 1,Shree Sharada Infrastructures,410101,"('19.023446136916377','73.323479251571600')",New Project,12/30/2024,,,Residential,9416.62,1315.74,8998.15,01/22/2024,,,216.0,29.0,0.0,3.0,0.0,20.0,3.0,0.0,49.0,0.0,0.0,0.0
Raigarh,P52000018650,HARI TARA COMPLEX PHASE 1,SHARDUL BUILDERS AND DEVELOPERS,402201,,New Project,03/30/2024,,,Residential,2901.0,0.0,2901.0,11/10/2018,,,76.0,0.0,0.0,2.0,0.0,10.0,2.0,25.0,2.0,0.0,0.0,0.0
Raigarh,P52000018683,BELMAC RIVERSIDE-II,SUPREME HOLDINGS & HOSPITALITY (INDIA) LIMITED,410206,,New Project,06/01/2022,,,Residential,3950.0,395.0,1972.32,06/01/2023,,,47.0,33.0,0.0,1.0,0.0,5.0,0.0,5.0,13.0,0.0,0.0,0.0
Raigarh,P52000018866,SHAMBHAVI RESIDENCY,SHREE SIDDHIVINAYAK DEVELOPERS,410206,,New Project,12/30/2022,,,Residential,1210.0,0.0,1210.0,12/05/2018,,,43.0,0.0,0.0,3.0,0.0,12.0,3.0,4.0,3.0,0.0,0.0,0.0
Raigarh,P52000018853,NEELKANTH EXOTICA,NEELKANTH INFRA,400702,,New Project,12/30/2023,,,Others,1349.99,337.11,2017.73,03/21/2024,,,56.0,37.0,0.0,1.0,2.0,15.0,1.0,9.0,12.0,0.0,0.0,0.0
Raigarh,P52000018734,Madhur Residency,Madhur Enterprise,402201,,New Project,03/30/2022,,,Others,1520.5,0.0,1050.0,12/15/2022,,,40.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,10.0,0.0,0.0,0.0
Raigarh,P52000018664,BALKRISHNA NAGARI,VILAS CHANDRU CHIKANE,402303,,New Project,11/15/2023,,,Residential,3000.0,0.0,2168.0,11/12/2018,,,72.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0
Raigarh,P52000018716,HIMALAYA GARDENS,HIMALAYA BUILDERS AND DEVELOPERS LLP,410101,,New Project,10/01/2023,,,Others,2762.0,0.0,3007.78,09/28/2023,,,101.0,101.0,0.0,4.0,0.0,20.0,4.0,0.0,4.0,0.0,0.0,0.0
Raigarh,P52000018838,Sai Deep,GURU SAI DEVELOPERS,410206,,New Project,03/01/2021,,,Residential,230.0,0.0,642.91,08/31/2021,,,16.0,6.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Raigarh,P52000018811,Trimbak Galaxy,Alankara Developers,410206,"('18.987144187961880','73.094509238836740')",New Project,03/30/2022,,,Residential,389.8,0.0,584.01,10/15/2022,,,28.0,13.0,0.0,1.0,0.0,5.0,1.0,5.0,2.0,0.0,0.0,0.0
Raigarh,P52000018789,GAYATRI KRUPA,GAYATRI DEVELOPERS,410201,,New Project,04/30/2023,,,Residential,1178.5,0.0,1681.19,02/23/2023,,,44.0,13.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0
Raigarh,P52000018745,Shree Samarth Aashray,Shree Samarth Developers,410206,"('18.968580588396610','73.034856041033890')",New Project,06/30/2022,,,Residential,269.93,0.0,401.45,02/25/2021,,,16.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,5.0,0.0,0.0,0.0
Raigarh,P52000018773,Sea Queen Park,Sea Queen Developers Pvt Ltd,410208,,New Project,12/02/2024,,,Others,8250.0,1066.0,8245.71,08/28/2023,,,273.0,74.0,0.0,9.0,0.0,48.0,9.0,0.0,73.0,0.0,0.0,0.0
Raigarh,P52000019196,SIDDHIVINAYAK PALACE,RAFIQ HAMID SAYYED,410101,"('19.034104000000000','73.331077600000070')",New Project,12/30/2021,,,Others,394.0,0.0,591.0,01/04/2019,,,22.0,0.0,0.0,1.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0
Raigarh,P52000018674,GAMI VIONA,SHRI GAMI INFOTECH PVT LTD,410210,,New Project,12/30/2023,,,Residential,2899.82,1611.67,4346.32,01/31/2023,2.0,,107.0,28.0,0.0,1.0,2.0,19.0,1.0,0.0,88.0,0.0,0.0,0.0
Raigarh,P52000018885,Shiv Arcade,Maruti Infra Developers,410206,,New Project,05/30/2023,,,Residential,199.56,0.0,299.34,08/20/2021,,,11.0,0.0,0.0,1.0,0.0,5.0,4.0,3.0,4.0,0.0,0.0,0.0
Raigarh,P52000018988,GAJANAND KRUPA,SHREE GAJANAND BILCON,410206,,New Project,12/30/2021,,,Residential,399.95,0.0,598.79,03/24/2021,,,26.0,25.0,0.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0
Raigarh,P52000018851,DEEP ELANZA,SAMBHAV HOMES,410206,,New Project,12/30/2022,,,Commercial,549.77,0.0,824.65,03/01/2023,,,33.0,33.0,0.0,1.0,0.0,7.0,1.0,1.0,9.0,0.0,0.0,0.0
Raigarh,P52000018795,AVALON,SONI LIFESPACES,410218,,New Project,12/30/2022,,,Residential,741.79,36.85,1108.73,02/03/2023,,,50.0,50.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0
Raigarh,P52000018763,BHAVESHWAR BELLEZA,BHAVESHWAR REALTY,410206,,New Project,12/30/2023,,,Others,1499.71,0.0,2249.1,02/05/2023,,,70.0,16.0,0.0,1.0,0.0,8.0,1.0,5.0,1.0,0.0,0.0,0.0
Raigarh,P52000019027,M/S. RENAISSANCE BUILDERS AND DEVELOPERS,M/S. RENAISSANCE BUILDERS AND DEVELOPERS,410206,,New Project,11/28/2022,,11/28/2023,Commercial,976.0,0.0,976.0,12/05/2023,,,29.0,0.0,0.0,1.0,0.0,4.0,0.0,89.0,0.0,0.0,0.0,0.0
Raigarh,P52000018841,NEEL SIDHI REGALIA,NEEL SIDHI REALTIES,410206,,New Project,12/30/2022,,,Residential,6401.4,0.0,9602.0,10/03/2023,,,176.0,166.0,0.0,2.0,0.0,26.0,2.0,90.0,91.0,0.0,0.0,0.0
Raigarh,P52000019019,Aspire Park,Aspire Buildcon,410101,,New Project,05/30/2022,,,Residential,614.0,0.0,736.7,11/10/2020,,,28.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0
Raigarh,P52000018863,NEELKANTH GREEN,NEELKANTH CON CAST LLP,410206,,New Project,12/30/2022,,,Residential,700.0,0.0,1049.73,02/16/2023,1.0,,38.0,37.0,0.0,1.0,0.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0
Raigarh,P52000019727,THE PALM OAK,GAJORA INFRA,410206,"('18.956907276650053','73.020500331213380')",New Project,12/30/2024,,,Residential,649.85,0.0,972.65,09/05/2023,,,37.0,27.0,0.0,1.0,0.0,8.0,1.0,2.0,11.0,0.0,0.0,0.0
Raigarh,P52000019034,ADITI ARCADE,SHREE REALTOR,410203,,New Project,12/30/2022,,,Others,1021.2,0.0,2177.36,01/02/2023,,,59.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
Raigarh,P52000019059,SAMRUDDHI,S D BUILDCON,400702,,New Project,12/30/2025,,,Residential,950.0,0.0,1424.91,10/19/2023,,,47.0,40.0,0.0,1.0,0.0,8.0,16.0,0.0,0.0,0.0,0.0,0.0
Raigarh,P52000018961,EKDANT RESIDENCY,EKDANT DEVELOPERS,410206,,New Project,12/30/2021,,12/30/2022,Residential,290.0,0.0,434.0,02/11/2022,,,17.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,4.0,0.0,0.0,0.0
Raigarh,P52000018905,ARSH TOWER,KGN DEVELOPERS,400702,,New Project,03/30/2022,,,Others,3960.0,390.35,3111.54,10/04/2021,,,57.0,0.0,0.0,1.0,0.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0
Raigarh,P52000019039,GAJ NIRVANA,GAJ REALTY,410206,,New Project,12/30/2022,,,Residential,439.72,0.0,648.59,07/05/2023,,,28.0,3.0,0.0,1.0,0.0,5.0,0.0,0.0,8.0,0.0,0.0,0.0
Raigarh,P52000019108,GALAXY,RND BUILDERS & DEVELOPERS,400702,,New Project,06/30/2023,,,Others,799.94,0.0,1199.91,03/13/2023,,,35.0,32.0,0.0,1.0,0.0,8.0,1.0,10.0,10.0,0.0,0.0,0.0
Raigarh,P52000019133,Neel Pallacio,Vilas Madanlal Kothari,410206,,New Project,03/30/2024,,,Residential,4123.0,0.0,5428.45,10/13/2021,,,72.0,0.0,0.0,2.0,2.0,26.0,2.0,35.0,2.0,0.0,0.0,0.0
Raigarh,P52000018923,Mauli Residency,Vilas Sandipan Chavan,410206,,New Project,12/30/2021,,06/30/2025,Residential,1800.0,253.13,289.16,10/19/2022,,,8.0,5.0,1.0,0.0,0.0,5.0,1.0,0.0,8.0,0.0,0.0,0.0
Raigarh,P52000018939,APEX CORNER,APEX ENTERPRISES,410206,,New Project,12/30/2022,,,Others,649.73,0.0,964.8,05/24/2023,,,42.0,41.0,0.0,1.0,0.0,7.0,1.0,2.0,1.0,0.0,0.0,0.0
Raigarh,P52000019274,Sundeep Corner,Aditya Enterprises,410206,,New Project,12/30/2022,,,Residential,349.98,0.0,,01/05/2019,,4.0,0.0,0.0,0.0,25.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Raigarh,P52000018968,Aayushi Enclave,Aayushi Corporation,410206,,New Project,12/30/2022,,,Others,999.38,0.0,1498.7,05/24/2023,,,54.0,0.0,0.0,1.0,0.0,7.0,1.0,0.0,15.0,0.0,0.0,0.0
Raigarh,P52000019142,taj regency,LOOKWELL LIFESPACE PVT LTD,410209,"('19.022436000000000','73.087740000000000')",New Project,12/30/2024,,,Residential,1049.75,0.0,1157.0,10/30/2023,,,46.0,12.0,0.0,1.0,1.0,14.0,1.0,0.0,1.0,0.0,0.0,0.0
Raigarh,P52000019081,Shivam Plaza,Seven Heaven,410206,"('18.986739561342400','73.095131442016620')",On-Going Project,12/30/2020,12/30/2020,06/30/2022,Residential,329.67,0.0,494.08,02/27/2020,,,24.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,6.0,0.0,0.0,0.0
Raigarh,P52000019416,VLC PRIDE,SHIV TRIDENT BUILDCON LLP,410206,,New Project,12/30/2024,,,Residential,649.63,0.0,974.44,09/25/2021,,,37.0,17.0,0.0,0.0,0.0,5.0,0.0,1.0,9.0,0.0,0.0,0.0
Raigarh,P52000019057,PRAJAPATI ORNATE,PRAJAPATI CONSTRUCTIONS LIMITED,410206,"('19.001864000000000','73.125642000000000')",New Project,12/30/2025,,,Others,3691.22,1201.97,5809.99,02/22/2024,,,120.0,85.0,0.0,3.0,9.0,45.0,6.0,13.0,114.0,0.0,0.0,0.0
Raigarh,P52000019069,UTSAV CITY PHASE III,TODAY MICRON DEVELOPERS,410206,,New Project,12/30/2022,,12/30/2023,Residential,10446.8,3780.27,7263.21,01/03/2024,,2.0,112.0,112.0,0.0,2.0,0.0,14.0,2.0,0.0,30.0,0.0,0.0,0.0
Raigarh,P52000019078,PRAJAPATI OPAL,PRAJAPATI CONSTRUCTIONS LIMITED,410206,,New Project,12/30/2025,,,Others,2074.07,404.35,3578.24,02/09/2024,,,68.0,52.0,0.0,1.0,2.0,17.0,1.0,0.0,57.0,0.0,0.0,0.0
Raigarh,P52000019199,HMD RIVERVIEW,HAMDULE & MD DEVELOPERS,410208,,New Project,12/30/2021,,,Others,399.31,0.0,598.9,08/12/2023,,,20.0,20.0,0.0,1.0,0.0,5.0,0.0,7.0,1.0,0.0,0.0,0.0
Raigarh,P52000019290,TRISHUL APARTMENT,MAHAKALI DEVELOPERS,410101,,New Project,12/30/2022,,,Residential,427.0,0.0,511.99,05/12/2023,,,16.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,40.0,0.0,0.0,0.0
Raigarh,P52000019071,NAMAN RESIDENCY,Shreemangal Infra,410206,"('19.108821276093753','73.079175595731390')",New Project,12/30/2024,,,Residential,3530.0,400.63,3518.29,05/27/2023,,,108.0,81.0,0.0,5.0,0.0,25.0,5.0,0.0,0.0,0.0,0.0,0.0
Raigarh,P52000019091,SAI TULIP,HARJI GANEHSA GAJORA,410208,,New Project,06/30/2022,,,Others,349.74,0.0,523.56,04/22/2023,,,20.0,20.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0
