district,rera_id,project_name,promoter_name,location_pin_code,location_lat_long,project_status,proposed_date_of_completion,revised_proposed_date_of_completion,extended_date_of_completion,project_type,project_area_(sqmts),recreational_open_space,sanctioned_fsi,date_last_modified,cases_count,complaints_count,number_of_appartments,number_of_booked_appartments,number_of_basements,number_of_plinth,number_of_podiums,number_of_sanctioned_floors,number_of_stilts,total_no__of_open_parking_as_per_sanctioned_plan_(4-wheeler+2-wheeler),number_of_closed_parking,number_of_plots,area_of_plot(in_sqmts),number_of_plots_booked_/_alloted_/_sold
Thane,P51700047616,Tulsi Aaradhana,RAJ GROUP,421503,"('19.148707700000000','73.246305200000000')",New Project,12/31/2025,,,Residential,6980.0,736.52,18390.15,01/29/2024,,,318.0,0.0,0.0,3.0,0.0,41.0,3.0,0.0,3.0,0.0,0.0,0.0
Thane,P51700046352,Fiora G and H,MACROTECH DEVELOPERS LIMITED,421203,,New Project,10/31/2026,,,Residential,2473.6,1381.6,19871.01,03/12/2024,,,320.0,0.0,0.0,2.0,0.0,48.0,0.0,50.0,0.0,0.0,0.0,0.0
Thane,P51700046311,Casa Belvedere,MACROTECH DEVELOPERS LIMITED,421203,,New Project,10/31/2026,,,Residential,5876.0,3134.0,39729.95,03/12/2024,,,467.0,279.0,0.0,4.0,0.0,96.0,0.0,126.0,0.0,0.0,0.0,0.0
Thane,P51700046305,PRIDE HEIGHTS,PRIDE ENTERPRISES,421306,,New Project,12/31/2027,,,Others,4380.0,0.0,14805.84,02/09/2024,,,230.0,62.0,0.0,2.0,0.0,29.0,2.0,31.0,93.0,0.0,0.0,0.0
Thane,P51700046312,Lodha Kolshet A2 - Tower 1,MACROTECH DEVELOPERS LIMITED,400607,,New Project,06/30/2028,,,Residential,834.6,175.57,741.05,03/11/2024,,,231.0,0.0,0.0,1.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0
Thane,P51700046313,Lodha Kolshet A2 - Tower 2,MACROTECH DEVELOPERS LIMITED,400607,,New Project,02/28/2029,,,Residential,834.6,175.57,741.05,03/11/2024,,,229.0,0.0,0.0,1.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0
Thane,P51700046362,Lodha Kolshet A2 - Tower 3,MACROTECH DEVELOPERS LIMITED,400607,,New Project,10/31/2029,,,Residential,834.6,175.57,741.05,03/11/2024,,,222.0,0.0,0.0,1.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0
Thane,P51700046348,TISAI RESIDENCY,SKY TOUCH,421306,,New Project,06/30/2027,,,Residential,7034.2,0.0,8422.57,03/04/2024,,,378.0,9.0,0.0,2.0,0.0,43.0,2.0,0.0,2.0,0.0,0.0,0.0
Thane,P51700047055,SHIVAM RESIDENCY PHASE II,SHIVAM DEVELOPERS,421305,,New Project,12/31/2026,,,Others,3390.0,0.0,11698.58,01/24/2024,,,144.0,48.0,0.0,2.0,0.0,24.0,2.0,20.0,2.0,0.0,0.0,0.0
Thane,P51700046819,Shreeji Darshan,Shreeji Infra,410206,,New Project,12/31/2026,,,Others,499.56,0.0,633.51,03/05/2024,,,12.0,0.0,0.0,1.0,0.0,3.0,9.0,0.0,9.0,0.0,0.0,0.0
Thane,P51700049449,MARATHON NEXTOWN JASPER,MARATHON ENER-GEN,421201,,New Project,12/31/2027,,,Residential,710.0,1.0,5500.0,01/31/2024,3.0,,277.0,0.0,1.0,1.0,0.0,20.0,1.0,50.0,1.0,0.0,0.0,0.0
Thane,P51700047446,Lotus,Padma developers,421201,,New Project,12/31/2025,,,Residential,600.0,0.0,1220.48,10/17/2022,,,20.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,26.0,0.0,0.0,0.0
Thane,P51700048193,PARADISE ENCLAVE,Omkar Shashikant Dahotre,421201,,New Project,06/30/2025,,,Residential,350.0,0.0,787.92,02/23/2024,,,9.0,4.0,1.0,1.0,0.0,6.0,8.0,20.0,18.0,0.0,0.0,0.0
Thane,P51700047996,SHIV TIRTH B WING,GAJRAJ ENTERPRISES,421503,,New Project,12/31/2025,,,Mixed (Plots & Buildings),453.2,0.0,851.62,03/13/2024,,,24.0,0.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
Thane,P51700046447,Riviera - Building No.2,Shreeram Builders,400605,,New Project,09/30/2025,,,Others,653.5,0.0,1511.68,02/19/2024,,,35.0,25.0,0.0,1.0,0.0,8.0,0.0,23.0,13.0,0.0,0.0,0.0
Thane,P51700047627,AADI ARAMBH SHIVKANTA,D A CONSTRUCTION,421501,,New Project,12/31/2025,,,Residential,2347.16,0.0,2347.16,03/02/2024,,,46.0,0.0,1.0,1.0,0.0,7.0,0.0,51.0,32.0,0.0,0.0,0.0
Thane,P51700046454,SHAMBHU SHANKAR RESIDENCY,VIDISHA CONSTRUCTIONS,421305,,New Project,12/31/2024,,,Others,3213.0,0.0,12850.0,02/01/2024,,,236.0,210.0,0.0,1.0,0.0,13.0,1.0,295.0,1.0,0.0,0.0,0.0
Thane,P51700046572,Raheja Prime-1,Raheja Universal (Pvt.) Ltd.,400705,,New Project,12/31/2028,,,Others,2303.52,0.0,37285.37,02/21/2024,,,524.0,254.0,0.0,1.0,6.0,28.0,1.0,0.0,561.0,0.0,0.0,0.0
Thane,P51700046671,MOHAN HEIGHTS,MOHAN ATMARAM SASE,421401,,New Project,06/30/2026,,,Residential,2700.0,420.0,6005.92,02/01/2024,,,102.0,27.0,0.0,2.0,0.0,13.0,2.0,95.0,0.0,0.0,0.0,0.0
Thane,P51700048041,OSTWAL PARADISE BUILDING NO.9 WING A - B - C,SHREE OSTWAL BUILDERS LTD,401107,"('19.288388300000000','72.864801200000000')",New Project,12/31/2028,,,Residential,2560.0,0.0,13520.0,01/13/2024,1.0,,194.0,71.0,0.0,3.0,3.0,67.0,3.0,0.0,3.0,0.0,0.0,0.0
Thane,P51700047056,AUROVILLE A AND B WING,ARYA CONSTRUCTION,421204,,New Project,12/31/2025,,,Residential,3080.0,285.0,4560.95,02/21/2024,,,70.0,16.0,0.0,2.0,0.0,14.0,2.0,122.0,0.0,0.0,0.0,0.0
Thane,P51700046731,CHAVAN ADVAITAM,SAIDEEP CONSTRUCTIONS,421301,"('19.250304000000000','73.142161000000000')",New Project,12/31/2026,,,Others,5896.13,550.81,26487.68,11/28/2023,1.0,,267.0,64.0,1.0,3.0,0.0,37.0,2.0,606.0,2.0,0.0,0.0,0.0
Thane,P51700046536,Ace Enclave,Ace Signature Homes LLP,400615,"('19.275900566182735','72.966643194193740')",New Project,12/31/2026,,,Residential,3200.0,0.0,11181.16,02/07/2024,,,249.0,82.0,0.0,1.0,0.0,22.0,1.0,174.0,54.0,0.0,0.0,0.0
Thane,P51700046616,MANNAT SAROVAR,R. S. Enterprises,421004,,New Project,10/31/2024,,,Residential,209.02,0.0,527.07,08/16/2022,,,12.0,0.0,0.0,1.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0
Thane,P51700046637,Antalya,M/S Sara Realty,400614,,New Project,06/30/2027,,,Others,2629.05,0.0,13917.92,01/24/2024,,,112.0,30.0,3.0,1.0,0.0,14.0,1.0,0.0,243.0,0.0,0.0,0.0
Thane,P51700048129,SAIRAJ AVENUE,SHRI SAI DEVELOPERS,421503,,New Project,12/25/2023,,12/24/2024,Residential,402.25,0.0,678.8,03/11/2024,,,15.0,0.0,0.0,1.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0
Thane,P51700051733,Vedant Nakshatra Wing K Phase V,MOHAN HARDASMAL THARWANI,421503,,New Project,06/30/2026,,,Residential,676.92,1411.25,6498.46,02/08/2024,,,119.0,2.0,0.0,1.0,0.0,17.0,1.0,0.0,38.0,0.0,0.0,0.0
