district,rera_id,project_name,promoter_name,location_pin_code,location_lat_long,project_status,proposed_date_of_completion,revised_proposed_date_of_completion,extended_date_of_completion,project_type,project_area_(sqmts),recreational_open_space,sanctioned_fsi,date_last_modified,cases_count,complaints_count,number_of_appartments,number_of_booked_appartments,number_of_basements,number_of_plinth,number_of_podiums,number_of_sanctioned_floors,number_of_stilts,total_no__of_open_parking_as_per_sanctioned_plan_(4-wheeler+2-wheeler),number_of_closed_parking,number_of_plots,area_of_plot(in_sqmts),number_of_plots_booked_/_alloted_/_sold
Jalgaon,P49900013764,SAMADNYA APARTMENTS,SARASWATI CONSTRUCTIONS,425201,"('18.738140300000000','73.638903800000000')",New Project,12/31/2019,,,Others,373.0,0.0,734.06,08/15/2021,,,20.0,7.0,1.0,1.0,0.0,5.0,0.0,12.0,0.0,0.0,0.0,0.0
Jalgaon,P49900015806,GAURI GREEN APPARTMENT,GAURI CONSTRUCTIONS BUILDERS AND DEVELOPERS,425001,"('16.989961200000000','73.328759300000000')",New Project,12/01/2020,,,Residential,426.0,0.0,688.3,07/30/2020,,,15.0,0.0,0.0,1.0,0.0,6.0,1.0,5.0,1.0,0.0,0.0,0.0
Jalgaon,P49900015140,MANNAT HEIGHTS,AJAY SHANTILAL LALWANI,425001,"('19.059610000000000','72.855298300000000')",New Project,07/31/2023,,,Others,2241.39,0.0,3133.53,07/27/2020,,,83.0,0.0,0.0,0.0,0.0,8.0,1.0,14.0,70.0,0.0,0.0,0.0
Jalgaon,P49900014782,COOL HOMES,SAVITA SHIVAJI PATIL,425201,"('18.596957800000000','73.774811000000000')",New Project,12/30/2020,,,Others,600.0,0.0,839.98,06/30/2020,,,26.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Jalgaon,P49900015232,Om Heights,OM BUILDERS AND DEVELOPERS,425401,"('19.200702300000000','73.188061800000000')",New Project,12/31/2019,,,Others,670.29,0.0,1123.02,01/29/2023,,,21.0,10.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0
Jalgaon,P49900017985,RAMANAND NAGAR,M/S. SHREYASH REALTIES,424201,,New Project,12/30/2026,,,Residential,12400.0,1247.46,7953.13,08/15/2021,,,100.0,51.0,0.0,12.0,0.0,24.0,0.0,12.0,0.0,0.0,0.0,0.0
Jalgaon,P49900015439,VRUNDAVAN,SAGAR PANDIT TADE,425001,"('19.285519600000000','72.869296700000000')",New Project,01/30/2021,,,Others,1323.0,0.0,2262.42,04/10/2023,,,58.0,57.0,0.0,1.0,0.0,5.0,0.0,30.0,0.0,0.0,0.0,0.0
Jalgaon,P49900015086,Ashirwad Dream City Phase 2,MAYURI MUKUND BILDIKAR,424201,"('20.669364000000002','75.343179000000006')",New Project,12/30/2026,,,Residential,4222.06,4222.06,4521.31,12/11/2018,,,54.0,0.0,0.0,8.0,0.0,16.0,0.0,8.0,0.0,0.0,0.0,0.0
Jalgaon,P49900015187,GOKULDHAM RESIDENCY,OM BUILDERS AND DEVELOPERS,425401,"('19.434428900000000','72.922432900000004')",New Project,12/30/2023,,,Mixed (Plots & Buildings),1709.12,0.0,2589.39,01/29/2023,,,66.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0
Jalgaon,P49900015647,Vrudavan Heights,Vrundavan Heights,425001,"('20.999472000000001','75.538274000000001')",New Project,09/30/2020,,,Others,520.0,0.0,1196.0,11/16/2022,,,22.0,0.0,1.0,1.0,0.0,8.0,0.0,9.0,9.0,0.0,0.0,0.0
Jalgaon,P49900015570,Shriram Apartment,Kavita Sangramsing Shinde,424101,"('19.237187700000000','72.844135800000004')",New Project,12/05/2024,,,Others,619.85,0.0,811.02,08/06/2022,,,23.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0
